"","section","site","treatment","plot","sr","bm_g"
"1","S2","KENN","TIL","P01",28,604.3113
"2","S2","KENN","TIL","P03",21,628.0001
"3","S2","KENN","TIL","P05",19,1893.4784
"4","S2","KENN","TIL","P11",18,564.9303
"5","S2","KENN","TIL","P13",21,341.4151
"6","S2","KENN","TIL","P15",21,487.0377
"7","S2","KENN","TIL","P21",23,541.449
"8","S2","KENN","TIL","P23",22,525.7688
"9","S2","KENN","TIL","P25",22,547.2388
"10","S2","TIMH","TIL","P01",17,93.4581
"11","S2","TIMH","TIL","P03",25,652.4158
"12","S2","TIMH","TIL","P05",22,268.6632
"13","S2","TIMH","TIL","P11",26,114.8359
"14","S2","TIMH","TIL","P13",27,448.6508
"15","S2","TIMH","TIL","P15",22,391.8517
"16","S2","TIMH","TIL","P21",23,81.80601
"17","S2","TIMH","TIL","P23",28,326.1677
"18","S2","TIMH","TIL","P25",28,272.7736
"19","S2","VICP","TIL","P01",8,136.2827
"20","S2","VICP","TIL","P03",12,104.9366
"21","S2","VICP","TIL","P05",15,344.0852
"22","S2","VICP","TIL","P11",16,215.1581
"23","S2","VICP","TIL","P13",22,270.9324
"24","S2","VICP","TIL","P15",13,287.89965
"25","S2","VICP","TIL","P21",13,360.0885
"26","S2","VICP","TIL","P23",13,338.903
"27","S2","VICP","TIL","P25",14,446.7113
"28","S4","BNSH","RES","P01",13,559.6509
"29","S4","BNSH","RES","P03",15,830.4948
"30","S4","BNSH","RES","P05",19,625.9578
"31","S4","BNSH","RES","P11",16,815.5128
"32","S4","BNSH","RES","P13",9,1429.1265
"33","S4","BNSH","RES","P15",13,693.889
"34","S4","BNSH","RES","P21",23,750.9087
"35","S4","BNSH","RES","P23",16,1171.6545
"36","S4","BNSH","RES","P25",22,851.5875
"37","S4","DAVE","RES","P01",15,1275.2043
"38","S4","DAVE","RES","P03",14,1196.8851
"39","S4","DAVE","RES","P05",11,1422.0783
"40","S4","DAVE","RES","P11",22,1077.4199
"41","S4","DAVE","RES","P13",16,879.022
"42","S4","DAVE","RES","P15",9,1086.5692
"43","S4","DAVE","RES","P21",11,1232.2654
"44","S4","DAVE","RES","P23",12,859.702
"45","S4","DAVE","RES","P25",9,678.0672
"46","S4","GRNB","RES","P01",15,858.0818
"47","S4","GRNB","RES","P03",21,1241.2527
"48","S4","GRNB","RES","P05",24,1268.2568
"49","S4","GRNB","RES","P11",11,768.215
"50","S4","GRNB","RES","P13",10,351.4594
"51","S4","GRNB","RES","P15",18,656.4287
"52","S4","GRNB","RES","P21",15,731.5119
"53","S4","GRNB","RES","P23",18,483.1699
"54","S4","GRNB","RES","P25",14,486.7647
