"","section","site","treatment","plot","ir","sr","tot_bio","i_bio","guo_di_inv"
"1","S2","KENN","TIL","P01",2,25,515.9326,22.5229,0.0618273665978851
"2","S2","KENN","TIL","P03",0,19,613.0029,0,0
"3","S2","KENN","TIL","P05",1,19,1893.4784,2.1073,0.0268722521193632
"4","S2","KENN","TIL","P11",0,17,563.6726,0,0
"5","S2","KENN","TIL","P13",0,20,341.345,0,0
"6","S2","KENN","TIL","P15",0,18,486.2936,0,0
"7","S2","KENN","TIL","P21",1,20,537.8854,0.188,0.0251747584150825
"8","S2","KENN","TIL","P23",0,21,525.6013,0,0
"9","S2","KENN","TIL","P25",0,20,546.8641,0,0
"10","S2","TIMH","TIL","P01",0,15,90.704,0,0
"11","S2","TIMH","TIL","P03",0,22,651.3722,0,0
"12","S2","TIMH","TIL","P05",0,20,267.3265,0,0
"13","S2","TIMH","TIL","P11",0,18,107.5898,0,0
"14","S2","TIMH","TIL","P13",0,21,444.7915,0,0
"15","S2","TIMH","TIL","P15",0,20,390.9325,0,0
"16","S2","TIMH","TIL","P21",0,20,80.66951,0,0
"17","S2","TIMH","TIL","P23",0,23,324.5324,0,0
"18","S2","TIMH","TIL","P25",0,21,269.3222,0,0
"19","S2","VICP","TIL","P01",0,7,136.1026,0,0
"20","S2","VICP","TIL","P03",0,8,103.8015,0,0
"21","S2","VICP","TIL","P05",0,13,342.5129,0,0
"22","S2","VICP","TIL","P11",0,13,214.2108,0,0
"23","S2","VICP","TIL","P13",0,20,270.4681,0,0
"24","S2","VICP","TIL","P15",0,13,287.89965,0,0
"25","S2","VICP","TIL","P21",0,11,359.6551,0,0
"26","S2","VICP","TIL","P23",0,12,338.8125,0,0
"27","S2","VICP","TIL","P25",0,13,446.6012,0,0
"28","S4","BNSH","RES","P01",2,12,371.4969,12.1266,0.0996546000787624
"29","S4","BNSH","RES","P03",1,14,685.1408,3.7849,0.0384764186948351
"30","S4","BNSH","RES","P05",2,18,571.6638,25.4128,0.0777826057903264
"31","S4","BNSH","RES","P11",1,15,542.2488,7.8,0.0405256037449968
"32","S4","BNSH","RES","P13",1,8,999.3785,0.0088,0.0625044027363006
"33","S4","BNSH","RES","P15",2,12,366.299,6.63,0.0923833170897727
"34","S4","BNSH","RES","P21",2,22,525.3507,0.3205,0.0457595797868496
"35","S4","BNSH","RES","P23",2,14,926.3545,17.93,0.0811062919988283
"36","S4","BNSH","RES","P25",2,21,444.6275,18.97,0.0689515113105647
"37","S4","DAVE","RES","P01",2,14,764.4243,2.8357,0.0732833659451769
"38","S4","DAVE","RES","P03",2,13,614.1251,13.8228,0.0881771357459454
"39","S4","DAVE","RES","P05",2,10,733.2463,0.3305,0.100225367656134
"40","S4","DAVE","RES","P11",2,21,696.7199,0.3757,0.0478886681652671
"41","S4","DAVE","RES","P13",2,14,411.5084,0.1671,0.0716316049510949
"42","S4","DAVE","RES","P15",1,8,533.3452,0.1336,0.0626252472132495
"43","S4","DAVE","RES","P21",1,10,667.2574,3.71,0.0527800366095603
"44","S4","DAVE","RES","P23",1,9,324.3992,0.0122,0.0555743595476739
"45","S4","DAVE","RES","P25",0,8,115.4832,0,0
"46","S4","GRNB","RES","P01",3,14,569.4818,8.3322,0.114458455288399
"47","S4","GRNB","RES","P03",0,20,781.2127,0,0
"48","S4","GRNB","RES","P05",0,21,560.7592,0,0
"49","S4","GRNB","RES","P11",0,9,493.9279,0,0
"50","S4","GRNB","RES","P13",1,9,312.7754,5.58,0.064475694415581
"51","S4","GRNB","RES","P15",1,17,487.6147,0.3048,0.0297243065550104
"52","S4","GRNB","RES","P21",1,14,322.3479,0.1037,0.0358751367699309
"53","S4","GRNB","RES","P23",1,17,434.6359,4.92,0.0350716745292541
"54","S4","GRNB","RES","P25",1,13,108.6947,0.0306,0.0386022996946069
