"","section","site","treatment","plot","nn_rich","tot_rich","tot_biomass_g","nn_biomass_g","nn_bio","guo_di_nn"
"1","S2","KENN","TIL","P01",12,25,515.9326,300.773,300.773,0.531484779213409
"2","S2","KENN","TIL","P03",9,19,613.0029,192.8679,192.8679,0.394156124495367
"3","S2","KENN","TIL","P05",9,19,1893.4784,1811.4958,1811.4958,0.715193429471557
"4","S2","KENN","TIL","P11",9,17,563.6726,403.9386,403.9386,0.623015475545869
"5","S2","KENN","TIL","P13",12,20,341.345,307.0031,307.0031,0.749696201789978
"6","S2","KENN","TIL","P15",11,18,486.2936,454.1188,454.1188,0.772473894600116
"7","S2","KENN","TIL","P21",11,20,537.8854,336.7672,336.7672,0.588047351722133
"8","S2","KENN","TIL","P23",9,21,525.6013,159.4362,159.4362,0.365956001250377
"9","S2","KENN","TIL","P25",13,20,546.8641,456.5434,456.5434,0.742419428336949
"10","S2","TIMH","TIL","P01",8,15,90.704,57.8972,57.8972,0.585821279473158
"11","S2","TIMH","TIL","P03",11,22,651.3722,485.2261,485.2261,0.622464544848552
"12","S2","TIMH","TIL","P05",11,20,267.3265,176.3919,176.3919,0.604918470484595
"13","S2","TIMH","TIL","P11",9,18,107.5898,76.7334,76.7334,0.606601648111624
"14","S2","TIMH","TIL","P13",12,21,444.7915,365.8288,365.8288,0.696950561587363
"15","S2","TIMH","TIL","P15",10,20,390.9325,272.2996,272.2996,0.598269330383122
"16","S2","TIMH","TIL","P21",10,20,80.66951,48.3522,48.3522,0.549693155443736
"17","S2","TIMH","TIL","P23",13,23,324.5324,218.8962,218.8962,0.6198573031872
"18","S2","TIMH","TIL","P25",11,21,269.3222,111.8258,111.8258,0.469510744627315
"19","S2","VICP","TIL","P01",6,7,136.1026,133.6657,133.6657,0.919618991219019
"20","S2","VICP","TIL","P03",5,8,103.8015,95.7515,95.7515,0.773724067089589
"21","S2","VICP","TIL","P05",9,13,342.5129,332.3424,332.3424,0.831306960094956
"22","S2","VICP","TIL","P11",9,13,214.2108,163.4934,163.4934,0.727771859811421
"23","S2","VICP","TIL","P13",14,20,270.4681,250.4635,250.4635,0.813018559305145
"24","S2","VICP","TIL","P15",7,13,287.89965,280.6997,280.6997,0.756726499079694
"25","S2","VICP","TIL","P21",8,11,359.6551,350.942,350.942,0.851523230804381
"26","S2","VICP","TIL","P23",6,12,338.8125,335.3798,335.3798,0.744934218778823
"27","S2","VICP","TIL","P25",9,13,446.6012,434.9951,434.9951,0.833160038703262
"28","S4","BNSH","RES","P01",7,12,371.4969,181.7397,181.7397,0.536271264982292
"29","S4","BNSH","RES","P03",6,14,685.1408,273.1518,273.1518,0.413625616390508
"30","S4","BNSH","RES","P05",8,18,571.6638,51.413,51.413,0.267190086201015
"31","S4","BNSH","RES","P11",4,15,542.2488,54.1017,54.1017,0.183219750785986
"32","S4","BNSH","RES","P13",3,8,999.3785,168.6697,168.6697,0.271887296704902
"33","S4","BNSH","RES","P15",5,12,366.299,160.0686,160.0686,0.426827787317647
"34","S4","BNSH","RES","P21",10,22,525.3507,75.502,75.502,0.299131392351122
"35","S4","BNSH","RES","P23",6,14,926.3545,39.8287,39.8287,0.235783261930811
"36","S4","BNSH","RES","P25",8,21,444.6275,29.8245,29.8245,0.224014939204058
"37","S4","DAVE","RES","P01",3,14,764.4243,50.2485,50.2485,0.140009747952058
"38","S4","DAVE","RES","P03",4,13,614.1251,75.5075,75.5075,0.215321820611769
"39","S4","DAVE","RES","P05",4,10,733.2463,45.0255,45.0255,0.230702848415328
"40","S4","DAVE","RES","P11",6,21,696.7199,17.7991,17.7991,0.155630640499452
"41","S4","DAVE","RES","P13",6,14,411.5084,74.3331,74.3331,0.304603554699178
"42","S4","DAVE","RES","P15",1,8,533.3452,21.68,21.68,0.0828245477788119
"43","S4","DAVE","RES","P21",2,10,667.2574,30.0347,30.0347,0.12250608236042
"44","S4","DAVE","RES","P23",2,9,324.3992,28.3308,28.3308,0.154777679955917
"45","S4","DAVE","RES","P25",2,8,115.4832,38.9576,38.9576,0.293672153178991
"46","S4","GRNB","RES","P01",5,14,569.4818,24.6156,24.6156,0.20018370836685
"47","S4","GRNB","RES","P03",9,20,781.2127,83.4051,83.4051,0.278381812661264
"48","S4","GRNB","RES","P05",8,21,560.7592,57.0022,57.0022,0.241302106484345
"49","S4","GRNB","RES","P11",6,9,493.9279,87.6319,87.6319,0.422042535627838
"50","S4","GRNB","RES","P13",7,9,312.7754,100.6314,100.6314,0.549757358723793
"51","S4","GRNB","RES","P15",8,17,487.6147,90.8873,90.8873,0.328489933933976
"52","S4","GRNB","RES","P21",7,14,322.3479,12.3923,12.3923,0.269221933817469
"53","S4","GRNB","RES","P23",9,17,434.6359,50.3059,50.3059,0.322577194869924
"54","S4","GRNB","RES","P25",6,13,108.6947,11.7961,11.7961,0.28503176610904
