"","section","site","treatment","plot","exo_rich","exo_biomass_g","tot_rich","tot_biomass_g","guo_di"
"1","S2","KENN","TIL","P01",14,323.2959,28,604.3113,0.517491192039599
"2","S2","KENN","TIL","P03",9,192.8679,21,628.0001,0.367842935056858
"3","S2","KENN","TIL","P05",10,1813.6031,19,1893.4784,0.74206568159092
"4","S2","KENN","TIL","P11",9,403.9386,18,564.9303,0.607511891289952
"5","S2","KENN","TIL","P13",12,307.0031,21,341.4151,0.735318155021765
"6","S2","KENN","TIL","P15",11,454.1188,21,487.0377,0.728109739466047
"7","S2","KENN","TIL","P21",12,336.9552,23,541.449,0.572030173141683
"8","S2","KENN","TIL","P23",9,159.4362,22,525.7688,0.356167422224024
"9","S2","KENN","TIL","P25",13,456.5434,22,547.2388,0.71258816244223
"10","S2","TIMH","TIL","P01",8,57.8972,17,93.4581,0.545043620365389
"11","S2","TIMH","TIL","P03",11,485.2261,25,652.4158,0.591868753025295
"12","S2","TIMH","TIL","P05",11,176.3919,22,268.6632,0.578277002581671
"13","S2","TIMH","TIL","P11",9,76.7334,26,114.8359,0.507177147832422
"14","S2","TIMH","TIL","P13",12,365.8288,27,448.6508,0.629921038317056
"15","S2","TIMH","TIL","P15",10,272.2996,22,391.8517,0.574725092542547
"16","S2","TIMH","TIL","P21",10,48.3522,23,81.80601,0.512920935972691
"17","S2","TIMH","TIL","P23",13,218.8962,28,326.1677,0.567700608569501
"18","S2","TIMH","TIL","P25",11,111.8258,28,272.7736,0.401407718970709
"19","S2","VICP","TIL","P01",6,133.6657,8,136.2827,0.865398634602925
"20","S2","VICP","TIL","P03",5,95.7515,12,104.9366,0.664568336182673
"21","S2","VICP","TIL","P05",9,332.3424,15,344.0852,0.782936203010185
"22","S2","VICP","TIL","P11",9,163.4934,16,215.1581,0.661187822466363
"23","S2","VICP","TIL","P13",14,250.4635,22,270.9324,0.78040689720522
"24","S2","VICP","TIL","P15",7,280.6997,13,287.89965,0.756726499079694
"25","S2","VICP","TIL","P21",8,350.942,13,360.0885,0.794991957639474
"26","S2","VICP","TIL","P23",6,335.3798,13,338.903,0.72557128327393
"27","S2","VICP","TIL","P25",9,434.9951,14,446.7113,0.80831473258008
"28","S4","BNSH","RES","P01",9,193.8663,13,559.6509,0.519356730308951
"29","S4","BNSH","RES","P03",7,276.9367,15,830.4948,0.400063275531647
"30","S4","BNSH","RES","P05",10,76.8258,19,625.9578,0.324524491654398
"31","S4","BNSH","RES","P11",5,61.9017,16,815.5128,0.194202623183842
"32","S4","BNSH","RES","P13",4,168.6785,9,1429.1265,0.281236767120802
"33","S4","BNSH","RES","P15",7,166.6986,13,693.889,0.389349837266147
"34","S4","BNSH","RES","P21",12,75.8225,23,750.9087,0.311356728303929
"35","S4","BNSH","RES","P23",8,57.7587,16,1171.6545,0.274648349833505
"36","S4","BNSH","RES","P25",10,48.7945,22,851.5875,0.255921867848417
"37","S4","DAVE","RES","P01",5,53.0842,15,1275.2043,0.187480664862877
"38","S4","DAVE","RES","P03",6,89.3303,14,1196.8851,0.251603540366096
"39","S4","DAVE","RES","P05",6,45.356,11,1422.0783,0.288674355247272
"40","S4","DAVE","RES","P11",8,18.1748,22,1077.4199,0.190252590724125
"41","S4","DAVE","RES","P13",8,74.5002,16,879.022,0.292376755075527
"42","S4","DAVE","RES","P15",2,21.8136,9,1086.5692,0.121148943952314
"43","S4","DAVE","RES","P21",3,33.7447,11,1232.2654,0.150055776060166
"44","S4","DAVE","RES","P23",3,28.343,12,859.702,0.141484200339187
"45","S4","DAVE","RES","P25",2,38.9576,9,678.0672,0.139838057348888
"46","S4","GRNB","RES","P01",8,32.9478,15,858.0818,0.285865185968673
"47","S4","GRNB","RES","P03",9,83.4051,21,1241.2527,0.247882861748113
"48","S4","GRNB","RES","P05",8,57.0022,24,1268.2568,0.189139323623838
"49","S4","GRNB","RES","P11",6,87.6319,11,768.215,0.329763323832758
"50","S4","GRNB","RES","P13",8,106.2114,10,351.4594,0.551100525409194
"51","S4","GRNB","RES","P15",9,91.1921,18,656.4287,0.319460780736735
"52","S4","GRNB","RES","P21",8,12.496,15,731.5119,0.275207881102139
"53","S4","GRNB","RES","P23",10,55.2259,18,483.1699,0.334927343593032
"54","S4","GRNB","RES","P25",7,11.8267,14,486.7647,0.26214827205013
