Code,Genus,species,Authority,Group,Duration,Growth_habitat,Comments
ACNE,Acer,negundo,L.,Dicot,Perennial,Tree,
ACRU,Acer,rubrum,L.,Dicot,Perennial,Tree,
ACSA,Acer,saccharum,Marshall,Dicot,Perennial,Tree,
AGST,Agrostis,stolonifera,L.,Monocot,Perennial,Graminoid,
ALPE,Alliaria,petiolata,(M. Bieb.) Cavara & Grande,Dicot,Annual/Biennial,Forb/herb,
AMAL,Amaranthus,albus,L.,Dicot,Annual,Forb/herb,
AMAR,Ambrosia,artemisiifolia,L.,Dicot,Annual,Forb/herb,
ANAR,Anagallis,arvensis,L.,Dicot,Annual/Biennial,Forb/herb,
ANGE,Andropogon,gerardii,Vitman,Monocot,Perennial,Graminoid,
ASSU,Asclepias,sullivantii,Engelm. ex A. Gray,Dicot,Perennial,Forb/herb,
ASSY,Asclepias,syriaca,L.,Dicot,Perennial,Forb/herb,
ASTU,Asclepias,tuberosa,L.,Dicot,Perennial,Forb/herb,
BRIN,Bromus,inermis,Leyss.,Monocot,Perennial,Graminoid,
BRTE,Bromus,tectorum,L.,Monocot,Annual,Graminoid,
CAREX,Carex,spp.,-,Monocot,Perennial,Graminoid,"No flowering structures on any species, which lead to grouping all species within the genus"
CEFO,Cerastium,fontanum,(Hack.) Fernald,Monocot,Annual,Graminoid,
CELO,Cenchrus,longispinus,Baumg.,Dicot,Biennial/Perennial,Forb/herb,
CEPU,Cerastium,pumilum,W. Curtis,Dicot,Annual,Forb/herb,
CHGL,Chenopodium,glaucum,L.,Dicot,Annual,Forb/herb,
COCA,Conzya,canadensis,(L.) Conquist,Dicot,Annual/Biennial,Forb/herb,
COSE,Cornus,sericea,L.,Dicot,Perennial,Shrub/Tree,
COTR,Coreopsis,tripteris,L.,Dicot,Perennial,Forb/herb,
DACA,Daucus,carota,L.,Dicot,Biennial,Forb/herb,
DECA,Desmodium,canadense,(L.) DC.,Dicot,Perennial,Forb/herb,
DIIS,Digitaria,ischaemum,(Schreb.) Schreb. ex Muhl.,Monocot,Annual,Graminoid,
DISA,Digitaria,sanguinalis,(L.) Scop.,Monocot,Annual,Graminoid,
ECCR,Echinochloa,crus-galli,(L.) P. Beauv.,Monocot,Annual,Graminoid,
ELHY,Elymus,hystrix,L.,Monocot,Perennial,Graminoid,
ELRE,Elymus,repens,(L.) Gould,Monocot,Perennial,Graminoid,
ERAN,Erigeron,annuus,(L.) Pers.,Dicot,Annual,Forb/herb,
FRVI,Fragaria,virginiana,Duchesne,Dicot,Perennial,Forb/herb,
GEAN,Gentiana,andrewsii,Griseb.,Dicot,Perennial,Forb/herb,
GEUR,Geum,urbanum,L.,Dicot,Perennial,Forb/herb,
HEGI,Helianthus,giganteus,L.,Dicot,Perennial,Forb/herb,
HEHE,Heliopsis,helianthoides,(L.) Sweet,Dicot,Perennial,Forb/herb,
HOJU,Hordeum,jubatum,L.,Monocot,Perennial,Graminoid,
LASE,Lactuca,serriola,L.,Dicot,Annual/Perennial,Forb/herb,SP24 
LIVU,Linaria,vulgaris,Mill.,Dicot,Perennial,Forb/herb,
