Section,Site,Treatment,Plot,Herbicide,Date_collected,Date_recorded,Recorder,Scale,Rep,Paper_w_sample,Paper_bag_g,Mass_g,Comments
S2,KENN,TIL,1,N,2021-07-07,2021-07-24,GX,M,1,96.77,8.84,87.93,
S4,GRNB,RES,23,N,2021-07-23,2021-07-29,GX,M,1,76.18,27.646,48.534,
S4,GRNB,RES,1,Y,2021-07-21,2021-07-29,GX,M,1,334.81,46.21,288.6,
S4,GRNB,RES,5,N,2021-07-21,2021-07-29,GX,M,1,500.25,46.21,454.04,
S4,GRNB,RES,3,N,2021-07-21,2021-07-30,GX,M,1,506.25,46.21,460.04,
S4,GRNB,RES,5,N,2021-07-21,2021-07-30,GX,M,2,298.51,46.21,252.3,
S4,GRNB,RES,11,Y,2021-07-22,2021-07-29,GX,M,1,301.69,27.646,274.044,
S4,GRNB,RES,15,N,2021-07-22,2021-07-29,GX,M,1,196.46,27.646,168.814,
S4,GRNB,RES,13,Y,2021-07-22,2021-07-30,GX,M,1,66.33,27.646,38.684,
S4,GRNB,RES,25,N,2021-07-23,2021-07-29,GX,M,1,424.28,46.21,378.07,
S4,GRNB,RES,21,N,2021-07-23,2021-07-29,GX,M,1,436.81,27.646,409.164,
S4,BNSH,RES,5,N,2021-07-28,2021-07-30,GX,M,1,81.94,27.646,54.294,
S4,BNSH,RES,1,N,2021-07-30,2021-08-06,GX,M,1,215.8,27.646,188.154,
S4,BNSH,RES,13,N,2021-08-04,2021-08-08,GX,M,2,248.36,27.646,220.714,
S4,BNSH,RES,23,N,2021-08-04,2021-08-08,GX,M,1,45.36,8.84,36.52,
S4,BNSH,RES,13,N,2021-08-04,2021-08-12,MM,S,1,236.68,27.646,209.034,
S4,BNSH,RES,23,N,2021-08-04,2021-08-08,GX,M,2,32.03,8.84,23.19,
S4,BNSH,RES,23,N,2021-08-04,2021-08-12,MM,S,3,30.04,8.84,21.2,
S4,BNSH,RES,21,N,2021-08-03,2021-08-08,GX,M,2,115.02,27.646,87.374,
S4,BNSH,RES,21,N,2021-08-03,2021-08-08,GX,M,1,165.83,27.646,138.184,
