Code,Genus,Species,Variety,Subspecies,Ontario wet meadow mix,Butterfly mix,Seed mix 2,Seed mix 1
LOCA2,Lobelia ,cardinalis,,,Yes,,Yes,Yes
LISP,Liatris,spicata,,,Yes,,,
SONU2,Sorghastrum,nutans,,,Yes,Yes,Yes,Yes
BRCI2,Bromus,ciliatus,,,Yes,,,
DOUM2,Doellingeria,umbellata,,,Yes,,,
LOSI,Lobelia,siphilitica,,,Yes,,Yes,Yes
PAVI2,Panicum,virgatum,,,Yes,Yes,Yes,Yes
PEDI,Penstemon,digitalis,,,Yes,Yes,Yes,Yes
PHVIV,Physostegia,virginiana,,,Yes,,,
SYPIP3,Symphyotrichum,pilosum,,,Yes,,,
ASINI,Asclepias,incarnata,,,Yes,,,
JUARL,Juncus,balticus,,,Yes,,,
MIRI,Mimulus,ringens,,,Yes,,,
RUHI2,Rudbeckia,hirta,,,Yes,Yes,Yes,Yes
RULA3,Rudbeckia,laciniata,,,Yes,,,
SCCY,Scirpus,cyperinus,,,Yes,,,
CABE2,Carex,bebbii,,,Yes,,,
CAST5,Carex,stipata,,,Yes,,,
CAVU2,Carex,vulpinoidea,,,Yes,,,
ELVIV,Elymus,virginicus,virginicus,,Yes,,,Yes
EUPE3,Eupatorium,perfoliatum,,,Yes,,,
EUGR5,Euthamia,graminifolia,,,Yes,Yes,,
EUMAM4,Eutrochium,maculatum,,,Yes,,,
GLST,Glyceria,striata,,,Yes,,,
JUAR4,Juncus,articulatus,,,Yes,,,
JUEF4,Juncus,effusus,,,Yes,,,
JUTE,Juncus,tenuis,,,Yes,,,
JUTO,Juncus,torreyi,,,Yes,,,
MOFI,Monarda,fistulosa,,,Yes,Yes,Yes,Yes
OEBI,Oenothera,biennis,,,Yes,Yes,Yes,Yes
SCAT2,Scirpus,atrovirens,,,Yes,,,
SYER,Symphyotrichum,ericoides,ericoides,,Yes,Yes,,
SYNO2,Symphyotrichum,novae-angliae,,,Yes,Yes,,
SYPUP,Symphyotrichum,puniceum,,,Yes,,,
VEHA2,Verbena,hastata,,,Yes,Yes,,Yes
LICY,Liatris,cylindracea,,,,Yes,,
HELHELI,Heliopsis,helianthoides,,,,Yes,Yes,Yes
SCHSCOP,Schizachyrium,scoparium,,,,Yes,Yes,Yes
ANDGERA,Andropogon,gerardii,,,,Yes,Yes,Yes
POTARGU,Drymocallis,arguta,,,,Yes,,
LESCAPI,Lespedeza,capitata,,,,Yes,Yes,Yes
PENHIRS,Penstemon,hirsutus,,,,Yes,Yes,Yes
PYCVIRG,Pycnanthemum,virginianum,,,,Yes,,Yes
SPOCRYP,Sporobolus,cryptandrus,,,,Yes,,
VERSTRI,Verbena,stricta,,,,Yes,,
ELYCANA,Elymus,canadensis,,,,Yes,Yes,Yes
SISMONT,Sisyrinchium,montanum,,,,Yes,,
ASTOOLE,Symphyotrichum,oolentangiense,,,,Yes,,
APOCANN,Apocynum,cannabinum,,,,Yes,,
ASCSYRI,Asclepias,syriaca,,,,Yes,,
DESCANA,Desmodium,canadense,,,,Yes,Yes,Yes
SILPERF,Silphium,perfoliatum,,,,Yes,Yes,Yes
SOLNEMO,Solidago,nemoralis ,,nemoralis,,Yes,,
ASCTUBE,Asclepias,tuberosa,,,,Yes,Yes,Yes
HELAUTU,Helenium,autumnale,,,,Yes,,
GENANDR,Gentiana,andrewsii,,,,,Yes,Yes
ASCSULL,Asclepias,sullivantii,,,,,Yes,Yes
HELGIGA,Helianthus,giganteus,,,,,Yes,Yes
ALLCERN,Allium,cernuum,,,,,Yes,Yes
CORLANC,Coreopsis,lanceolata,,,,,Yes,Yes
ECHPALL,Echinacea,pallida,,,,,Yes,Yes
RATPINN,Ratibida,pinnata,,,,,Yes,Yes
SOLRIGI,Solidago,rigida,,,,,,Yes
CORTRIP,Coreopsis,tripteris,,,,,,Yes
VERMISS,Vernonia,missurica,,,,,,Yes
VERVIRG,Vernonia,virginicum,,,,,,Yes
