"","section","site","treatment","plot","sr_tot","bm_tot","sr_exo","bm_exo","sr_inv","bm_inv","sr_exo_frac","bm_exo_frac","guo_di_exo"
"1","S2","KENN","TIL",1,27,516.384,8,275.059,6,48.238,0.518518518518518,0.626078654644605,0.572298586581562
"2","S2","KENN","TIL",3,21,628.001,4,142.944,5,49.924,0.428571428571429,0.307114160646241,0.367842794608835
"3","S2","KENN","TIL",5,19,1893.479,4,1796.341,6,17.262,0.526315789473684,0.957815217385564,0.742065503429624
"4","S2","KENN","TIL",11,18,564.932,2,163.54,7,240.399,0.5,0.71502233897177,0.607511169485885
"5","S2","KENN","TIL",13,21,341.415,7,261.785,6,45.288,0.619047619047619,0.899412738163232,0.759230178605426
"6","S2","KENN","TIL",15,21,487.038,8,436.587,3,17.533,0.523809523809524,0.932411844660992,0.728110684235258
"7","S2","KENN","TIL",21,23,541.45,6,188.108,6,148.848,0.521739130434783,0.622321544002216,0.572030337218499
"8","S2","KENN","TIL",23,22,525.771,3,9.074,6,150.363,0.409090909090909,0.30324418805906,0.356167548574985
"9","S2","KENN","TIL",25,22,547.239,7,160.546,6,295.997,0.590909090909091,0.834266198132808,0.71258764452095
"10","S2","TIMH","TIL",1,16,86.338,4,46.163,3,4.614,0.4375,0.588118788945771,0.512809394472886
"11","S2","TIMH","TIL",3,25,659.537,7,469.93,4,22.416,0.44,0.746502470672608,0.593251235336304
"12","S2","TIMH","TIL",5,22,268.663,8,87.882,3,88.51,0.5,0.656554866133409,0.578277433066704
"13","S2","TIMH","TIL",11,26,114.836,7,67.747,3,9.868,0.384615384615385,0.675876902713435,0.53024614366441
"14","S2","TIMH","TIL",13,26,448.652,9,320.108,3,45.721,0.461538461538462,0.815395897042697,0.638467179290579
"15","S2","TIMH","TIL",15,22,391.852,6,254.464,4,17.836,0.454545454545455,0.694905219317497,0.574725336931476
"16","S2","TIMH","TIL",21,23,81.806,7,38.013,3,10.339,0.434782608695652,0.591056890692614,0.512919749694133
"17","S2","TIMH","TIL",23,28,326.1685,9,165.8845,5,53.278,0.5,0.671930305961489,0.585965152980745
"18","S2","TIMH","TIL",25,28,272.774,7,90.158,5,21.796,0.428571428571429,0.410427680057484,0.419499554314456
"19","S2","VICP","TIL",1,8,136.282,4,127.879,2,5.786,0.75,0.980797170572783,0.865398585286391
"20","S2","VICP","TIL",3,12,104.937,4,81.938,2,14.334,0.5,0.917426646464069,0.708713323232034
"21","S2","VICP","TIL",5,14,344.084,6,309.768,3,22.574,0.642857142857143,0.965874612013346,0.804365877435244
"22","S2","VICP","TIL",11,16,215.158,5,110.184,4,53.31,0.5625,0.759878786752061,0.661189393376031
"23","S2","VICP","TIL",13,22,270.933,8,232.498,6,17.967,0.636363636363636,0.924453647211672,0.780408641787654
"24","S2","VICP","TIL",15,12,135.216,4,116.556,2,11.46,0.5,0.946751863684771,0.723375931842385
"25","S2","VICP","TIL",21,13,512.772,5,470.456,3,33.17,0.615384615384615,0.982163612677759,0.798774114031187
"26","S2","VICP","TIL",23,13,338.904,4,333.2,2,2.18,0.461538461538462,0.989601775133961,0.725570118336211
"27","S2","VICP","TIL",25,14,446.712,5,369.095,4,65.9,0.642857142857143,0.973770572538907,0.808313857698025
