"","section","site","treatment","plot","sr_observed","bm_observed_g","frac_bm_obs_max","frac_sr_obs_max","i_e_chal"
"1","S2","KENN","TIL",1,27,516.384,0.272717046241337,0.964285714285714,0.3457604388589
"2","S2","KENN","TIL",3,21,628.001,0.331665151818425,0.75,0.437549142114562
"3","S2","KENN","TIL",5,19,1893.479,1,0.678571428571429,0.177324743873731
"4","S2","KENN","TIL",11,18,564.932,0.298356622914751,0.642857142857143,0.511590370310999
"5","S2","KENN","TIL",13,21,341.415,0.180310951428561,0.75,0.505404714180683
"6","S2","KENN","TIL",15,21,487.038,0.257218590752789,0.75,0.470925249130106
"7","S2","KENN","TIL",21,23,541.45,0.285955112256328,0.821428571428571,0.418636506413764
"8","S2","KENN","TIL",23,22,525.771,0.277674587360092,0.785714285714286,0.442051605653945
"9","S2","KENN","TIL",25,22,547.239,0.289012447457828,0.785714285714286,0.436968581985254
"10","S2","TIMH","TIL",1,16,86.338,0.0455975482168009,0.571428571428571,0.664313580412877
"11","S2","TIMH","TIL",3,25,659.537,0.348320208462835,0.892857142857143,0.35127129955992
"12","S2","TIMH","TIL",5,22,268.663,0.141888555405156,0.785714285714286,0.502927609446092
"13","S2","TIMH","TIL",11,26,114.836,0.0606481508376908,0.928571428571429,0.46053855561418
"14","S2","TIMH","TIL",13,26,448.652,0.236945854693926,0.928571428571429,0.381500236768094
"15","S2","TIMH","TIL",15,22,391.852,0.206948162614954,0.785714285714286,0.47375988992297
"16","S2","TIMH","TIL",21,23,81.806,0.0432040703910632,0.821428571428571,0.527467386382639
"17","S2","TIMH","TIL",23,28,326.1685,0.172258842057398,1,0.371095414928636
"18","S2","TIMH","TIL",25,28,272.774,0.14405969118221,1,0.383737743383914
"19","S2","VICP","TIL",1,8,136.282,0.0719743921110295,0.285714285714286,0.810110228679383
"20","S2","VICP","TIL",3,12,104.937,0.0554202079875193,0.428571428571429,0.738720853206488
"21","S2","VICP","TIL",5,14,344.084,0.181720526079244,0.5,0.642692014652824
"22","S2","VICP","TIL",11,16,215.158,0.113631046343794,0.571428571428571,0.633812597135404
"23","S2","VICP","TIL",13,22,270.933,0.143087406831552,0.785714285714286,0.502390136755207
"24","S2","VICP","TIL",15,12,135.216,0.0714114072561671,0.428571428571429,0.731551630471986
"25","S2","VICP","TIL",21,13,512.772,0.270809446526737,0.464285714285714,0.622454150192355
"26","S2","VICP","TIL",23,13,338.904,0.178984821062182,0.464285714285714,0.663621243504632
"27","S2","VICP","TIL",25,14,446.712,0.235921285633482,0.5,0.618392566494149
"28","S4","BNSH","RES",1,12,371.498,0.196198637534401,0.428571428571429,0.675606642653575
"29","S4","BNSH","RES",3,14,685.14,0.361841879418784,0.5,0.561939465726558
"30","S4","BNSH","RES",5,18,571.665,0.301912511308549,0.642857142857143,0.509996183690852
"31","S4","BNSH","RES",11,15,542.249,0.286377086833284,0.535714285714286,0.576069320051884
"32","S4","BNSH","RES",13,8,999.379,0.527800413947026,0.285714285714286,0.605752930403986
"33","S4","BNSH","RES",15,12,366.299,0.193452898078088,0.428571428571429,0.67683762085618
"34","S4","BNSH","RES",21,22,525.351,0.27745277343979,0.785714285714286,0.442151049940365
"35","S4","BNSH","RES",23,15,927.635,0.489910371332346,0.535714285714286,0.484820663466168
"36","S4","BNSH","RES",25,21,444.629,0.234821194214459,0.75,0.480966517565243
"37","S4","DAVE","RES",1,14,764.4243,0.403714168469785,0.5,0.543167154684281
"38","S4","DAVE","RES",3,13,614.1251,0.324336895207182,0.464285714285714,0.598456562797385
"39","S4","DAVE","RES",5,10,733.2463,0.387248181786014,0.357142857142857,0.629360232823356
"40","S4","DAVE","RES",11,21,696.7199,0.367957553265708,0.75,0.421278423128797
"41","S4","DAVE","RES",13,15,411.512,0.217331166598626,0.535714285714286,0.607024195465228
"42","S4","DAVE","RES",15,8,533.3372,0.281670512321499,0.285714285714286,0.716098630981561
"43","S4","DAVE","RES",21,10,667.2574,0.352397570820696,0.357142857142857,0.644984563947396
"44","S4","DAVE","RES",23,11,324.472,0.171362872257891,0.392857142857143,0.706443837242296
"45","S4","DAVE","RES",25,8,115.4832,0.060989955526309,0.285714285714286,0.815034804451713
"46","S4","GRNB","RES",1,14,569.482,0.300759607051359,0.5,0.589324054485336
"47","S4","GRNB","RES",3,20,781.215,0.412581813687926,0.714285714285714,0.420975089292314
"48","S4","GRNB","RES",5,22,561.915,0.296763259587247,0.785714285714286,0.43349371449123
"49","S4","GRNB","RES",11,10,494.172,0.260986258627637,0.357142857142857,0.685966359405979
"50","S4","GRNB","RES",13,9,312.776,0.165185882705855,0.321428571428571,0.748618622485571
"51","S4","GRNB","RES",15,17,487.617,0.257524377085777,0.607142857142857,0.549599155355327
"52","S4","GRNB","RES",21,14,322.348,0.17024112757522,0.5,0.647838493247135
"53","S4","GRNB","RES",23,17,434.636,0.22954360729641,0.607142857142857,0.562143578542905
"54","S4","GRNB","RES",25,13,108.696,0.0574054425742245,0.464285714285714,0.718128077523732
