"","section","site","treatment","plot","litter_mass_g"
"1","S2","KENN","TIL",1,87.93
"2","S4","BNSH","RES",1,188.154
"3","S4","BNSH","RES",3,145.354
"4","S4","BNSH","RES",5,54.294
"5","S4","BNSH","RES",11,273.264
"6","S4","BNSH","RES",13,429.748
"7","S4","BNSH","RES",15,327.59
"8","S4","BNSH","RES",21,225.558
"9","S4","BNSH","RES",23,244.02
"10","S4","BNSH","RES",25,406.96
"11","S4","DAVE","RES",1,510.78
"12","S4","DAVE","RES",3,582.76
"13","S4","DAVE","RES",5,688.828
"14","S4","DAVE","RES",11,380.7
"15","S4","DAVE","RES",13,467.51
"16","S4","DAVE","RES",15,553.224
"17","S4","DAVE","RES",21,565.008
"18","S4","DAVE","RES",23,535.23
"19","S4","DAVE","RES",25,562.58
"20","S4","GRNB","RES",1,288.6
"21","S4","GRNB","RES",3,460.04
"22","S4","GRNB","RES",5,706.34
"23","S4","GRNB","RES",11,274.044
"24","S4","GRNB","RES",13,38.684
"25","S4","GRNB","RES",15,168.814
"26","S4","GRNB","RES",21,409.164
"27","S4","GRNB","RES",23,48.534
"28","S4","GRNB","RES",25,378.07
