"Site","Treatment","Plot","Date_field_collected","Date_data_entry","Latitude","Longitude","Comments"
"KENN","TIL","P01",2021-05-25,2021-05-25,43.7927,79.2728166666667,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P03",2021-05-25,2021-05-25,43.7428666666667,79.2729166666667,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P05",2021-05-25,2021-05-25,43.7347666666667,79.2914666666667,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P11",2021-05-25,2021-05-25,43.7426,79.27305,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P13",2021-05-25,2021-05-25,43.7427833333333,79.2731666666667,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P15",2021-05-25,2021-05-25,43.7426166666667,79.2733,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P21",2021-05-25,2021-05-25,43.7425,79.2732833333333,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P23",2021-05-25,2021-05-25,43.7426833333333,79.2734166666667,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"KENN","TIL","P25",2021-05-25,2021-05-25,43.74285,79.27355,"Data Entry by AS. Soil samples collected by KN. Geotagged by GX"
"VICP","TIL","P01",2021-05-13,2021-05-13,43.7292333333333,79.3021833333333,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P03",2021-05-13,2021-05-13,43.72885,79.3020666666667,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P05",2021-05-13,2021-05-13,43.7287166666667,79.3019,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P11",2021-05-13,2021-05-13,43.7291666666667,79.3019333333333,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P13",2021-05-13,2021-05-13,43.7289666666667,79.3017833333333,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P15",2021-05-13,2021-05-13,43.7287833333333,79.30165,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P21",2021-05-13,2021-05-13,43.7292333333333,79.3016666666667,"took five soil samples and geotagged the location by GX. Data entered by GX"
